Brand,Category,Product,Size,Cost,Likes,Perfume_size,No_of_reviews,Rating
"Estee-lauder
",Skincare,Nutritious Vitality8™ Night Creme/Mask,SIZE 1.7 oz/ 50 mL•ITEM 1681709,$72.00 ,2809 loves,NA,10 reviews,4.5
"Estee-lauder
",Skincare,Advanced Time Zone Night Age Reversing Line/Wrinkle Crème,SIZE 1.7 oz/ 50 mL•ITEM 1475664,$80.00 ,5217 loves,NA,22 reviews,4.7
"Estee-lauder
",Skincare,Advanced Night Repair Intensive Recovery Ampoules,SIZE 60 ampoules•ITEM 1874718,$112.00 ,3377 loves,NA,11 reviews,4.9
"Estee-lauder
",Skincare,Advanced Night Repair Eye Serum Synchronized Complex II,SIZE 0.5 oz/ 15 mL•ITEM 1632199,$66.00 ,4202 loves,NA,40 reviews,3.5
"Estee-lauder
",Skincare,Nutritious Vitality8™ Radiant Moisture Creme,SIZE 1.7 oz/ 50 mL•ITEM 1681691,$65.00 ,2753 loves,NA,28 reviews,3.9
"Estee-lauder
",Skincare,DayWear BB Anti-Oxidant Beauty Benefit Crème SPF 35,SIZE 1 oz/ 30 mL•ITEM 1468115,$42.00 ,6088 loves,COLOR: 02 Medium,52 reviews,3.7
"Estee-lauder
",Skincare,Revitalizing Supreme Light+ Global Anti-Aging Cell Power Creme Oil-Free,SIZE 1.7 oz/ 50 mL•ITEM 1991637,$82.00 ,503 loves,NA,3 reviews,3.7
"Estee-lauder
",Skincare,"DayWear Advanced Multi-Protection Anti-Oxidant Creme, Normal/Combination",SIZE 1.7 oz/ 50 mL•ITEM 1468164,$54.00 ,2776 loves,NA,39 reviews,4.2
"Estee-lauder
",Skincare,Nutritious Radiant Vitality Energy Lotion,SIZE 6.7 oz/ 198 mL•ITEM 1521459,$58.00 ,3156 loves,NA,8 reviews,4.3
"Estee-lauder
",Skincare,DayWear Multi-Protection Anti-Oxidant Sheer Tint Release Moisturizer Broad Spectrum SPF 15 - Normal/ Combination Skin,SIZE 1.7 oz/ 50 mL•ITEM 1468131,$54.00 ,887 loves,COLOR:,9 reviews,4.8
"Estee-lauder
",Skincare,Advanced Night Repair Eye Concentrate Matrix,SIZE 0.5 oz/ 15 mL•ITEM 1983212,$69.00 ,1857 loves,NA,9 reviews,3.4
"Estee-lauder
",Skincare,Daywear Advanced Multi-Protection Anti-Oxidant Creme Oil-Free Broad Spectrum SPF 25,SIZE 1.7 oz/ 50 mL•ITEM 1468149,$54.00 ,2572 loves,NA,33 reviews,3.9
"Estee-lauder
",Skincare,DayWear Matte Oil-Control Anti-Oxidant Moisture Gel Creme,SIZE 1.7 oz/ 50 mL•ITEM 1991702,$52.00 ,1323 loves,NA,7 reviews,4.9
"Estee-lauder
",Skincare,Perfectly Clean Multi-Action Foam Cleanser/Purifying Mask,ITEM 1520303,$28.00 ,3518 loves,SIZE: 5 oz/ 150 mL,71 reviews,4.4
"Estee-lauder
",Skincare,Enlighten Dark Spot Correcting Night Serum,ITEM 1658251,$96.00 ,4453 loves,SIZE: 1.7 oz/ 50 mL,44 reviews,3.9
